"","state","district","category","type","date","crimes","total_population","total_gdp","lat","lon"
"52","Johor","All","assault","robbery_solo_unarmed","2019-01-01",328,3761.2,268449.969,1.98048406862745,103.220223147059
"53","Johor","All","assault","robbery_solo_unarmed","2020-01-01",479,4009.7,256064.203,1.98048406862745,103.220223147059
"54","Johor","All","assault","robbery_solo_unarmed","2021-01-01",138,4020,262463.625,1.98048406862745,103.220223147059
"55","Johor","All","assault","robbery_solo_unarmed","2022-01-01",193,4028.3,284814.632,1.98048406862745,103.220223147059
"56","Johor","All","assault","robbery_solo_unarmed","2023-01-01",243,4107.2,296451.224,1.98048406862745,103.220223147059
"57","Johor","All","property","break_in","2016-01-01",1475,3651.8,233461.09,1.98048406862745,103.220223147059
"58","Johor","All","property","break_in","2017-01-01",1211,3697,247167.002,1.98048406862745,103.220223147059
"59","Johor","All","property","break_in","2018-01-01",1239,3749.4,261198.304,1.98048406862745,103.220223147059
"60","Johor","All","property","break_in","2019-01-01",1364,3761.2,268449.969,1.98048406862745,103.220223147059
"61","Johor","All","property","break_in","2020-01-01",1273,4009.7,256064.203,1.98048406862745,103.220223147059
"62","Johor","All","property","break_in","2021-01-01",883,4020,262463.625,1.98048406862745,103.220223147059
"63","Johor","All","property","break_in","2022-01-01",767,4028.3,284814.632,1.98048406862745,103.220223147059
"64","Johor","All","property","break_in","2023-01-01",993,4107.2,296451.224,1.98048406862745,103.220223147059
"65","Johor","All","property","theft_other","2016-01-01",2117,3651.8,233461.09,1.98048406862745,103.220223147059
"66","Johor","All","property","theft_other","2017-01-01",2043,3697,247167.002,1.98048406862745,103.220223147059
"67","Johor","All","property","theft_other","2018-01-01",2025,3749.4,261198.304,1.98048406862745,103.220223147059
"68","Johor","All","property","theft_other","2019-01-01",1912,3761.2,268449.969,1.98048406862745,103.220223147059
"69","Johor","All","property","theft_other","2020-01-01",1403,4009.7,256064.203,1.98048406862745,103.220223147059
"70","Johor","All","property","theft_other","2021-01-01",942,4020,262463.625,1.98048406862745,103.220223147059
"71","Johor","All","property","theft_other","2022-01-01",1041,4028.3,284814.632,1.98048406862745,103.220223147059
"72","Johor","All","property","theft_other","2023-01-01",1335,4107.2,296451.224,1.98048406862745,103.220223147059
"73","Johor","All","property","theft_vehicle_lorry","2016-01-01",400,3651.8,233461.09,1.98048406862745,103.220223147059
"74","Johor","All","property","theft_vehicle_lorry","2017-01-01",274,3697,247167.002,1.98048406862745,103.220223147059
"75","Johor","All","property","theft_vehicle_lorry","2018-01-01",278,3749.4,261198.304,1.98048406862745,103.220223147059
"76","Johor","All","property","theft_vehicle_lorry","2019-01-01",219,3761.2,268449.969,1.98048406862745,103.220223147059
